epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,284.696,1.49112,2.60861,1.48795,0.9321,0.12145,0.19771,0.10684,1.40868,2.84112,1.45839,0.000406977,0.000406977,0.000406977
2,553.929,1.46956,1.84419,1.48102,0.36459,0.26094,0.33947,0.15107,1.64408,2.43898,1.68081,0.000807335,0.000807335,0.000807335
3,819.422,1.5515,1.85258,1.52952,0.42248,0.39515,0.34662,0.16476,1.66705,2.34482,1.77238,0.00119119,0.00119119,0.00119119
4,1086.22,1.55391,1.78263,1.51326,0.32957,0.37604,0.28873,0.13416,1.76143,2.50632,1.88208,0.00117575,0.00117575,0.00117575
5,1347.78,1.53955,1.72317,1.50534,0.43271,0.42185,0.36771,0.179,1.70955,2.30722,1.82806,0.001151,0.001151,0.001151
6,1609.21,1.49628,1.68321,1.50087,0.42649,0.45739,0.36783,0.17158,1.76265,2.14085,1.86029,0.00112625,0.00112625,0.00112625
7,1874.54,1.50794,1.65947,1.49248,0.43858,0.44176,0.37614,0.17836,1.67657,2.00467,1.71627,0.0011015,0.0011015,0.0011015
8,2131.78,1.48484,1.63107,1.47354,0.5069,0.50845,0.44636,0.23136,1.64673,1.87031,1.69241,0.00107675,0.00107675,0.00107675
9,2392.84,1.46594,1.56749,1.464,0.47251,0.49241,0.46335,0.2401,1.58042,1.77545,1.62354,0.001052,0.001052,0.001052
10,2645.09,1.46158,1.56881,1.46487,0.5293,0.49156,0.45281,0.22318,1.59706,1.73778,1.62593,0.00102725,0.00102725,0.00102725
11,2897.93,1.42532,1.5282,1.45102,0.47509,0.56808,0.46848,0.2333,1.57209,1.65357,1.6088,0.0010025,0.0010025,0.0010025
12,3167.01,1.43252,1.47318,1.45903,0.48689,0.52549,0.46544,0.23675,1.5047,1.61842,1.60026,0.00097775,0.00097775,0.00097775
13,3430.34,1.4243,1.48721,1.46398,0.55251,0.50112,0.49691,0.26176,1.53283,1.54211,1.60005,0.000953,0.000953,0.000953
14,3688.41,1.4344,1.44978,1.42418,0.536,0.50256,0.48382,0.26006,1.59187,1.68611,1.65396,0.00092825,0.00092825,0.00092825
15,3943.02,1.386,1.43489,1.41266,0.52908,0.4901,0.46529,0.24048,1.57445,1.70777,1.63903,0.0009035,0.0009035,0.0009035
16,4195.47,1.374,1.40115,1.41434,0.52459,0.59105,0.53677,0.28075,1.52573,1.5145,1.59708,0.00087875,0.00087875,0.00087875
17,4448.25,1.38365,1.36498,1.40127,0.5587,0.51373,0.52236,0.2845,1.50955,1.51267,1.57584,0.000854,0.000854,0.000854
18,4702.41,1.3454,1.36085,1.39266,0.57101,0.52229,0.52117,0.285,1.49983,1.53148,1.58427,0.00082925,0.00082925,0.00082925
19,4958.35,1.34311,1.34048,1.37826,0.52155,0.5532,0.53085,0.297,1.47161,1.45016,1.54427,0.0008045,0.0008045,0.0008045
20,5213.02,1.35338,1.33776,1.40017,0.57269,0.52941,0.52751,0.29443,1.48839,1.46716,1.58353,0.00077975,0.00077975,0.00077975
21,5464.9,1.35952,1.32567,1.3925,0.56918,0.55305,0.54968,0.30711,1.45826,1.42544,1.53017,0.000755,0.000755,0.000755
22,5715.73,1.3343,1.25582,1.36863,0.59515,0.56371,0.55081,0.3026,1.45723,1.39582,1.56008,0.00073025,0.00073025,0.00073025
23,5967.24,1.28262,1.23022,1.34601,0.57146,0.55901,0.56415,0.30978,1.49126,1.37178,1.57696,0.0007055,0.0007055,0.0007055
24,6217.58,1.29954,1.22968,1.35067,0.60367,0.56613,0.56838,0.30714,1.45809,1.36428,1.53841,0.00068075,0.00068075,0.00068075
25,6468.7,1.30976,1.22473,1.35135,0.58532,0.55099,0.56034,0.32085,1.44686,1.39058,1.52618,0.000656,0.000656,0.000656
26,6720.79,1.29009,1.19533,1.3339,0.62358,0.56034,0.546,0.308,1.49572,1.45634,1.55579,0.00063125,0.00063125,0.00063125
27,6970.6,1.28104,1.20364,1.34623,0.61983,0.56234,0.56874,0.31287,1.49824,1.38923,1.56565,0.0006065,0.0006065,0.0006065
28,7222.94,1.25577,1.17899,1.33099,0.60546,0.60602,0.5884,0.33001,1.44497,1.3148,1.50768,0.00058175,0.00058175,0.00058175
29,7475.38,1.27894,1.15238,1.32235,0.63641,0.55304,0.58424,0.33182,1.44697,1.33507,1.52518,0.000557,0.000557,0.000557
30,7727.19,1.24606,1.15587,1.32049,0.60107,0.6093,0.58909,0.32926,1.43915,1.32539,1.52662,0.00053225,0.00053225,0.00053225
31,7978.37,1.23127,1.13949,1.30641,0.67609,0.53111,0.59534,0.33472,1.46552,1.32046,1.52633,0.0005075,0.0005075,0.0005075
32,8230.91,1.24365,1.13359,1.32446,0.61721,0.57906,0.58016,0.32719,1.4384,1.26551,1.50136,0.00048275,0.00048275,0.00048275
33,8482.11,1.2264,1.11992,1.29853,0.58566,0.56728,0.57302,0.32684,1.42225,1.31475,1.50109,0.000458,0.000458,0.000458
34,8731.95,1.27497,1.11682,1.33531,0.63003,0.59416,0.5872,0.33329,1.4458,1.28697,1.50823,0.00043325,0.00043325,0.00043325
35,8983.17,1.22567,1.08163,1.30666,0.63746,0.5626,0.58772,0.33598,1.40498,1.26221,1.48997,0.0004085,0.0004085,0.0004085
36,9232.12,1.20087,1.10196,1.29423,0.59636,0.58101,0.59165,0.33744,1.42451,1.27173,1.50415,0.00038375,0.00038375,0.00038375
37,9483.68,1.18204,1.03823,1.26456,0.61653,0.62186,0.59962,0.34409,1.41137,1.2379,1.49925,0.000359,0.000359,0.000359
38,9734.49,1.17816,1.04775,1.27375,0.60777,0.6075,0.59861,0.33256,1.42611,1.26566,1.51026,0.00033425,0.00033425,0.00033425
39,9985.34,1.17367,1.03271,1.27391,0.58187,0.6071,0.60389,0.33979,1.41637,1.25052,1.48024,0.0003095,0.0003095,0.0003095
40,10236.3,1.16295,0.99654,1.26021,0.65226,0.60147,0.62715,0.35653,1.41858,1.2187,1.4998,0.00028475,0.00028475,0.00028475
41,10488.5,1.14785,0.99335,1.26915,0.61844,0.59631,0.58866,0.33168,1.44148,1.26216,1.53726,0.00026,0.00026,0.00026
42,10737.1,1.14807,0.93568,1.26837,0.66352,0.56049,0.59554,0.33719,1.41116,1.23573,1.49999,0.00023525,0.00023525,0.00023525
43,10986.9,1.12589,0.91107,1.25937,0.66304,0.57598,0.59997,0.34288,1.38911,1.23424,1.47967,0.0002105,0.0002105,0.0002105
44,11232.9,1.11079,0.90496,1.24777,0.70306,0.56854,0.6159,0.34636,1.39459,1.21906,1.47533,0.00018575,0.00018575,0.00018575
45,11480.9,1.09134,0.87432,1.23633,0.61485,0.62493,0.60423,0.34795,1.40495,1.2064,1.48175,0.000161,0.000161,0.000161
46,11727.9,1.07072,0.8523,1.23333,0.64831,0.60845,0.60134,0.34136,1.40469,1.21062,1.48556,0.00013625,0.00013625,0.00013625
47,11973.3,1.07067,0.85527,1.21667,0.63514,0.59613,0.59792,0.34282,1.39199,1.2138,1.47028,0.0001115,0.0001115,0.0001115
48,12219.7,1.07567,0.86032,1.22256,0.63766,0.60492,0.6056,0.35039,1.39477,1.19884,1.47177,8.675e-05,8.675e-05,8.675e-05
49,12466.8,1.04012,0.8134,1.19869,0.63865,0.62279,0.60357,0.34714,1.40001,1.20542,1.47796,6.2e-05,6.2e-05,6.2e-05
50,12709.8,1.04958,0.84227,1.21153,0.65663,0.59891,0.60459,0.34791,1.39126,1.20322,1.47197,3.725e-05,3.725e-05,3.725e-05
