epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1356.31,1.36973,2.5976,1.43334,0.74154,0.51171,0.54855,0.33499,1.1388,1.84916,1.43782,0.000174753,0.000174753,0.000174753
2,3076.04,1.28781,1.64497,1.34908,0.63588,0.55255,0.55357,0.34341,1.09152,1.84455,1.4116,0.000338533,0.000338533,0.000338533
3,4687.98,1.28756,1.51659,1.34141,0.82166,0.54939,0.65238,0.41583,1.03537,1.39185,1.3532,0.000490742,0.000490742,0.000490742
4,5857.16,1.25375,1.38873,1.32841,0.80458,0.62124,0.67624,0.4456,1.0156,1.24308,1.34406,0.000473926,0.000473926,0.000473926
5,7056.68,1.21361,1.25401,1.29782,0.71628,0.70755,0.70929,0.46203,0.98702,1.10121,1.31322,0.000456568,0.000456568,0.000456568
6,8227.51,1.19235,1.16537,1.27604,0.818,0.72012,0.75596,0.51991,0.91772,0.90595,1.24761,0.00043921,0.00043921,0.00043921
7,10090.2,1.17551,1.1129,1.27681,0.81755,0.7222,0.76948,0.5196,0.93515,0.88091,1.25897,0.000421852,0.000421852,0.000421852
8,11879.5,1.16119,1.05485,1.25195,0.80337,0.71149,0.78192,0.5225,0.92338,0.80317,1.24726,0.000404494,0.000404494,0.000404494
9,16402.2,1.13938,1.00535,1.2467,0.82547,0.73156,0.78987,0.54726,0.82657,0.72257,1.1699,0.000387136,0.000387136,0.000387136
10,20098.3,1.13067,0.97463,1.23479,0.82817,0.77854,0.8101,0.55545,0.81998,0.68794,1.17102,0.000369778,0.000369778,0.000369778
11,24049.7,1.10041,0.94822,1.21969,0.87886,0.74703,0.84062,0.60062,0.82608,0.67023,1.16993,0.00035242,0.00035242,0.00035242
12,32248,1.08932,0.91377,1.21056,0.88793,0.7689,0.85002,0.60781,0.76871,0.64117,1.12917,0.000335062,0.000335062,0.000335062
13,35256.8,1.08988,0.89598,1.21022,0.88646,0.77104,0.87869,0.62945,0.7964,0.60133,1.14393,0.000317704,0.000317704,0.000317704
14,45946.8,1.07581,0.87533,1.19509,0.90921,0.75293,0.85129,0.6121,0.76275,0.60018,1.12346,0.000300346,0.000300346,0.000300346
15,47353.4,1.06353,0.85521,1.19928,0.87164,0.80956,0.87093,0.64005,0.71734,0.5848,1.09359,0.000282988,0.000282988,0.000282988
16,48496.2,1.05345,0.83795,1.18961,0.84402,0.78805,0.82018,0.60093,0.71662,0.55283,1.09038,0.00026563,0.00026563,0.00026563
17,52220.2,1.04232,0.80745,1.1808,0.91696,0.80512,0.90166,0.66292,0.72538,0.53159,1.08636,0.000248272,0.000248272,0.000248272
18,54910.5,1.0314,0.80134,1.1741,0.91694,0.80491,0.89708,0.65192,0.71776,0.52505,1.08226,0.000230914,0.000230914,0.000230914
19,59750.3,1.0216,0.7826,1.16856,0.90749,0.83022,0.87183,0.64714,0.69294,0.50161,1.06937,0.000213556,0.000213556,0.000213556
20,60921.1,1.01488,0.76761,1.16726,0.92078,0.81249,0.90448,0.67544,0.69732,0.48391,1.06511,0.000196198,0.000196198,0.000196198
21,62098.1,0.99065,0.7133,1.1782,0.78415,0.97413,0.91236,0.68868,0.66325,0.47678,1.04624,0.00017884,0.00017884,0.00017884
22,63336.9,0.97062,0.68476,1.15869,0.93127,0.8172,0.96646,0.70756,0.6758,0.48253,1.04526,0.000161482,0.000161482,0.000161482
23,64522,0.9574,0.65972,1.14247,0.91287,0.84126,0.89247,0.67252,0.65981,0.47513,1.03314,0.000144124,0.000144124,0.000144124
24,65683.5,0.94041,0.64377,1.13968,0.93791,0.83515,0.90674,0.69031,0.64973,0.45996,1.02229,0.000126766,0.000126766,0.000126766
25,69308.5,0.93049,0.62766,1.13113,0.93777,0.81894,0.88923,0.67843,0.63146,0.44836,1.00784,0.000109408,0.000109408,0.000109408
26,70513,0.92263,0.61227,1.11858,0.94674,0.84794,0.90888,0.69929,0.61493,0.41985,0.99779,9.205e-05,9.205e-05,9.205e-05
27,71703.3,0.91178,0.60353,1.11572,0.94247,0.84703,0.91039,0.70153,0.60981,0.42129,0.99202,7.4692e-05,7.4692e-05,7.4692e-05
28,72873.5,0.8973,0.58536,1.10571,0.7948,0.97712,0.92522,0.71673,0.61103,0.41435,0.99442,5.7334e-05,5.7334e-05,5.7334e-05
29,74035.3,0.89243,0.5866,1.10396,0.94406,0.86243,0.9117,0.7029,0.60683,0.4057,0.99004,3.9976e-05,3.9976e-05,3.9976e-05
30,75201.3,0.8835,0.57263,1.09791,0.95202,0.85829,0.91225,0.70596,0.60091,0.40166,0.98797,2.2618e-05,2.2618e-05,2.2618e-05
